facility_id,district,facility_type,facility_name,latitude,longitude,address,installed_year,count
SAMPLE-SEC-01-10001,강남구,CCTV,강남구 샘플 CCTV #1,37.5172,127.0473,서울특별시 강남구 샘플로 12,2022,2
SAMPLE-SEC-01-10002,강남구,파출소/지구대,강남 샘플 파출소,37.5185,127.0465,서울특별시 강남구 샘플로 45,2020,1
SAMPLE-SEC-02-10003,강동구,여성안심귀갓길,강동 샘플 안심귀갓길 #1,37.5301,127.1238,서울특별시 강동구 샘플길 88,2023,1
SAMPLE-SEC-03-10004,강북구,보안등,강북구 샘플 보안등 #1,37.6396,127.0255,서울특별시 강북구 샘플로 101,2021,5
SAMPLE-SEC-04-10005,강서구,비상벨,강서구 샘플 비상벨 #1,37.5509,126.8495,서울특별시 강서구 샘플로 15,2024,3
SAMPLE-SEC-05-10006,관악구,CCTV,관악구 샘플 CCTV #1,37.4784,126.9516,서울특별시 관악구 샘플길 204,2019,4
SAMPLE-SEC-06-10007,광진구,파출소/지구대,광진 샘플 파출소,37.5385,127.0823,서울특별시 광진구 샘플로 3,2018,1
SAMPLE-SEC-07-10008,구로구,CCTV,구로구 샘플 CCTV #1,37.4954,126.8874,서울특별시 구로구 샘플로 77,2023,2
SAMPLE-SEC-08-10009,금천구,보안등,금천구 샘플 보안등 #1,37.4568,126.8954,서울특별시 금천구 샘플길 55,2022,3
SAMPLE-SEC-09-10010,노원구,비상벨,노원구 샘플 비상벨 #1,37.6542,127.0568,서울특별시 노원구 샘플로 99,2021,2
SAMPLE-SEC-10-10011,도봉구,여성안심귀갓길,도봉 샘플 안심귀갓길 #1,37.6688,127.0471,서울특별시 도봉구 샘플길 12,2020,1
SAMPLE-SEC-11-10012,동대문구,CCTV,동대문구 샘플 CCTV #1,37.5744,127.0400,서울특별시 동대문구 샘플로 34,2023,4
SAMPLE-SEC-12-10013,동작구,보안등,동작구 샘플 보안등 #1,37.5124,126.9393,서울특별시 동작구 샘플로 81,2022,2
SAMPLE-SEC-13-10014,마포구,파출소/지구대,마포 샘플 파출소,37.5663,126.9016,서울특별시 마포구 샘플로 11,2019,1
SAMPLE-SEC-14-10015,서대문구,CCTV,서대문구 샘플 CCTV #1,37.5791,126.9368,서울특별시 서대문구 샘플길 40,2024,3
SAMPLE-SEC-15-10016,서초구,비상벨,서초구 샘플 비상벨 #1,37.4837,127.0324,서울특별시 서초구 샘플로 150,2021,1
SAMPLE-SEC-16-10017,성동구,CCTV,성동구 샘플 CCTV #1,37.5635,127.0369,서울특별시 성동구 샘플길 2,2022,2
SAMPLE-SEC-17-10018,성북구,보안등,성북구 샘플 보안등 #1,37.5894,127.0167,서울특별시 성북구 샘플로 67,2020,5
SAMPLE-SEC-18-10019,송파구,여성안심귀갓길,송파 샘플 안심귀갓길 #1,37.5145,127.1061,서울특별시 송파구 샘플로 200,2023,1
SAMPLE-SEC-19-10020,양천구,CCTV,양천구 샘플 CCTV #1,37.5169,126.8665,서울특별시 양천구 샘플길 14,2021,3
SAMPLE-SEC-20-10021,영등포구,파출소/지구대,영등포 샘플 파출소,37.5263,126.8962,서울특별시 영등포구 샘플로 5,2018,1
SAMPLE-SEC-21-10022,용산구,CCTV,용산구 샘플 CCTV #1,37.5326,126.9900,서울특별시 용산구 샘플로 90,2022,2
SAMPLE-SEC-22-10023,은평구,비상벨,은평구 샘플 비상벨 #1,37.6027,126.9291,서울특별시 은평구 샘플길 33,2024,4
SAMPLE-SEC-23-10024,종로구,CCTV,종로구 샘플 CCTV #1,37.5730,126.9794,서울특별시 종로구 샘플로 1,2020,2
SAMPLE-SEC-24-10025,중구,보안등,중구 샘플 보안등 #1,37.5641,126.9979,서울특별시 중구 샘플길 10,2023,3
SAMPLE-SEC-25-10026,중랑구,여성안심귀갓길,중랑 샘플 안심귀갓길 #1,37.6065,127.0927,서울특별시 중랑구 샘플로 70,2021,1
